Parent-Region,Region,SQL unique_name,time to 75% daily utility in weeks,time to 25% daily utility in weeks,Aver. cost per week,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,Safety from crime,nature & wildlife,hiking,beach,watersports,entertainment,wintersports,culture,culinary,cities & architecture,shopping,Reference,Note
Caribbean,"Bahamas, Turks and Caicos Islands",BHS,1,4,725,++,++,++,+,o,-,--,--,-,o,++,++,o,-,--,++,++,+,--,o,-,--,-,,"Bahamas, Turks And Cairos Islands"
Caribbean,Cuba,CUB,1,4,350,++,++,++,++,+,o,-,--,--,-,+,++,+,o,-,o,-,o,--,++,--,+,-,,
Caribbean,Greater Antilles without Cuba,HTI,2,8,575,++,++,++,++,+,o,-,--,--,-,+,++,o,o,o,++,+,o,--,+,-,-,-,,"Cayman Islands, Jamaica, Haiti, Dominican Republix, Puerto Rico"
Caribbean,Lesser Antilles,AIA,2,8,575,++,++,++,++,+,o,-,--,--,-,+,++,o,o,--,++,++,+,--,o,o,--,-,,"South of Virgin Islands, Anguilla"
South America,Venezuela,VEN,1,8,390,++,++,++,++,+,o,-,-,-,o,+,++,-,++,-,+,o,-,--,o,o,o,o,,
South America,Guianas,GUY,1,8,525,o,+,++,+,-,-,-,o,++,++,++,o,-,+,-,o,-,--,--,-,+,--,--,,
South America,Colombia,COL,2,12,350,++,++,++,o,-,-,+,+,-,-,o,++,o,+,o,+,o,+,-,+,o,o,o,,
South America,Ecuador,ECU,1,8,350,-,-,-,o,o,+,++,++,++,o,-,-,o,+,+,o,o,-,--,o,o,o,o,,
South America,Peru,PER,2,12,350,-,-,-,o,+,++,++,++,+,o,-,-,-,++,+,-,-,-,--,++,+,-,o,,
South America,Bolivia,BOL,1,8,310,--,--,-,+,++,++,++,++,++,+,-,--,o,+,+,--,--,-,--,+,o,-,o,,
South America,Brazil,,1,4,625,o,o,o,o,o,o,o,o,o,o,o,o,-,o,o,o,o,o,o,o,o,o,o,,
Brazil,Brazil North,BRA_NO,1,4,625,-,-,-,-,o,++,++,++,++,+,o,-,-,o,-,-,--,--,--,-,o,-,-,http://wikitravel.org/en/Brazil#Regions,
Brazil,Brazil Northeast,BRA_NE,1,4,625,+,o,-,--,--,--,-,+,++,++,++,++,-,o,-,+,+,o,--,+,o,o,o,,
Brazil,Brazil Central West,BRA_CW,1,4,625,-,-,-,o,+,++,++,++,+,o,-,-,-,+,o,--,-,-,--,o,o,-,-,,
