,Parent_region,Region,SQL_unique_name,Time_to_75__percentage_daily_utility_in_weeks,Time_to_25__percentage_daily_utility_in_weeks,Avg_cost_per_week,January,February,March,April,May,June,July,August,September,October,November,December,Safety from crime,Nature_wildlife,Hiking,Beach,Water_sports,Entertainment,Winter_sports,Culture,Culinary_arts,Cities_architecture,Shopping
24,USA,Midwest,USA_MW,1,12,600,1,1,2,3,4,5,4,4,5,4,2,1,4,3,1,2,2,5,1,4,4,5,4
25,USA,USA_South,USA_SO,1,12,600,3,3,4,5,5,4,3,3,5,5,4,3,4,4,2,4,5,5,1,4,5,3,3
26,USA,Florida,USA_FL,1,8,600,5,5,5,4,3,2,1,1,2,3,5,5,4,4,2,5,5,5,1,4,4,4,3
27,USA,Mid-Atlantic,USA_MA,1,12,600,1,1,2,3,4,5,5,5,5,4,2,1,3,3,2,2,2,5,3,4,3,5,5
28,USA,New_England,USA_NE,1,12,600,1,1,2,3,4,5,5,5,5,5,2,1,4,4,4,2,3,3,3,4,4,4,2
29,USA,Hawaii,USA_HA,1,8,600,4,4,5,5,5,5,5,5,5,5,5,4,3,4,3,5,5,3,1,3,4,2,2
30,North_America,Mexico,,1,4,375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
31,Mexico,Baja_California,MEX_BC,2,8,375,5,5,4,4,3,1,1,1,2,3,4,5,3,4,2,5,5,3,1,2,3,1,1
32,Mexico,Northern_Mexico,MEX_NO,1,2,375,5,5,4,4,3,1,1,1,2,3,4,5,3,3,3,1,1,1,1,2,2,1,1
33,Mexico,Bajio_and_Central_Mexico,MEX_BA,1,4,375,5,5,4,4,3,1,1,1,2,3,4,5,3,4,3,1,1,3,1,4,3,4,4
34,Mexico,Pacific_Coast,MEX_PC,1,4,375,5,5,5,4,4,2,1,1,1,3,4,5,3,3,2,3,3,2,1,3,3,2,2
35,Mexico,Yucatan,MEX_YU,1,4,415,5,5,5,4,4,2,1,1,1,3,4,5,3,3,2,4,4,2,1,5,4,3,2
36,Middle_America_and_Caribbean,Middle_America,,2,6,400,5,5,5,4,4,3,2,2,2,3,4,5,3,3,3,3,3,3,3,3,3,3,3
37,Middle_America,Guatemala_and_Belize,GTM,1,2,250,5,5,5,4,3,2,1,1,1,3,4,5,2,3,2,3,2,2,1,5,3,2,2
38,Middle_America,Honduras_and_El_Salvador,HND,1,2,250,5,5,5,4,3,2,1,1,1,3,4,5,2,3,3,4,4,2,1,4,3,2,2
39,Middle_America,Nicaragua,NIC,1,2,250,5,5,5,4,3,2,1,1,1,3,4,5,2,3,2,3,3,2,1,3,3,2,2
40,Middle_America,Costa_Rica,CRI,2,6,400,5,5,5,4,3,2,2,2,2,3,4,5,3,5,4,4,4,2,1,3,3,2,2
41,Middle_America,Panama,PAN,2,6,400,5,5,5,4,3,2,2,2,2,3,4,5,3,4,4,4,3,2,1,3,3,4,2
42,Middle_America_and_Caribbean,Caribbean,,2,8,400,5,5,5,5,4,3,2,2,2,2,4,5,3,3,3,3,3,3,3,3,3,3,3
43,Caribbean,Bahamas_Turks_and_Caicos_Islands,BHS,1,4,725,5,5,5,4,3,2,1,1,2,3,5,5,3,2,1,5,5,4,1,3,2,1,2
44,Caribbean,Cuba,CUB,1,4,350,5,5,5,5,4,3,2,1,1,2,4,5,4,3,2,3,2,3,1,5,1,4,2
45,Caribbean,Greater_Antilles_without_Cuba,HTI,2,8,575,5,5,5,5,4,3,2,1,1,2,4,5,3,3,3,5,4,3,1,4,2,2,2
46,Caribbean,Lesser_Antilles,AIA,2,8,575,5,5,5,5,4,3,2,1,1,2,4,5,3,3,1,5,5,4,1,3,3,1,2
