,Parent_region,Region,SQL_unique_name,Time_to_75__percentage_daily_utility_in_weeks,Time_to_25__percentage_daily_utility_in_weeks,Avg_cost_per_week,January,February,March,April,May,June,July,August,September,October,November,December,Safety from crime,Nature_wildlife,Hiking,Beach,Water_sports,Entertainment,Winter_sports,Culture,Culinary_arts,Cities_architecture,Shopping
89,Southern_Africa,Zambia_and_Malawi,ZMB,2,8,450,2,2,2,3,5,5,4,4,5,4,3,2,3,5,3,1,1,2,1,3,3,2,2
90,Southern_Africa,Mozambique_and_Zimbabwe,MOZ,2,8,350,2,2,2,3,4,5,4,4,5,5,4,2,2,4,3,4,4,3,1,3,3,3,2
91,Asia,Near_and_Middle_East,,1,5,400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
92,Near_and_Middle_East,Israel,ISR,1,5,420,3,3,3,4,5,5,4,4,5,5,4,3,3,3,3,3,4,3,1,4,3,4,3
93,Near_and_Middle_East,Jordan_and_Palestina,JOR,1,5,350,3,3,5,5,5,3,2,2,4,5,5,3,3,3,2,1,1,3,1,4,3,2,2
94,Near_and_Middle_East,Lebanon_and_Syria,LBN,1,5,350,3,3,5,5,5,3,2,2,4,5,5,3,1,3,2,3,2,2,1,3,3,2,2
95,Near_and_Middle_East,Iraq_and_Kuwait,IRQ,2,5,420,3,3,4,4,4,3,3,3,3,4,4,3,1,2,1,3,3,2,1,3,3,2,2
96,Near_and_Middle_East,Iran,IRN,2,8,350,2,3,4,5,4,4,3,3,4,5,4,3,4,3,2,2,2,3,3,4,3,3,2
97,Near_and_Middle_East,United_Arab_Emirates,ARE,1,5,525,5,5,5,4,3,2,1,1,2,3,5,5,5,3,2,3,3,3,2,3,3,4,4
98,Near_and_Middle_East,Saudi-Arabia,SAU,2,8,560,5,5,4,3,3,2,1,1,2,3,5,5,5,3,1,3,3,2,1,3,3,3,2
99,Near_and_Middle_East,Oman_and_Yemen,OMN,1,6,490,5,5,5,4,3,2,1,1,2,3,5,5,3,3,2,2,2,2,1,3,3,4,2
100,Near_and_Middle_East,Qatar_and_Bahrain,QAT,1,2,525,5,5,4,3,3,2,1,1,2,3,5,5,4,3,1,4,4,3,2,3,3,3,4
101,Asia,Russland_and_Caucasus,,1,2,400,2,2,2,3,4,4,4,4,4,3,2,2,3,3,3,1,3,3,3,3,3,3,3
102,Russland_and_Caucasus,Caucasus,ARM,1,2,400,1,1,2,3,4,5,4,5,4,3,2,1,2,3,2,2,1,2,2,3,3,3,2
103,Russland_and_Caucasus,Russia_West,RUS_WE,2,4,400,1,1,1,2,3,4,5,4,3,2,1,1,3,3,2,2,2,3,1,4,3,4,4
104,Russland_and_Caucasus,Russia_South,RUS_SO,1,2,400,1,2,2,3,4,4,5,4,3,3,2,1,2,3,2,2,2,2,2,3,3,3,2
105,Russland_and_Caucasus,Russia_Central,RUS_CE,1,2,400,1,1,1,2,3,4,4,4,3,2,1,1,3,3,2,1,1,1,2,2,2,1,1
106,Russland_and_Caucasus,Russia_East,RUS_EA,1,2,400,1,1,1,1,2,3,4,3,2,1,1,1,3,3,2,1,1,1,2,1,2,1,1
107,Asia,South_Asia,,1,8,400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
108,South_Asia,Pakistan,PAK,1,8,400,3,3,4,4,3,2,2,2,4,4,3,3,1,4,4,2,2,3,1,3,3,3,2
109,South_Asia,Nepal,NPL,1,8,400,2,3,4,5,4,3,2,2,3,5,4,3,4,4,5,1,1,2,2,3,3,2,1
